model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_layers,start_width,width_strategy,n_conv_layers,kernel_size,n_filters_start,filter_strategy,widths,n_params,best_epoch,train_loss,val_loss,best_val_loss,overfit_gap,is_overfit,val_clf_accuracy,val_photon_err_pct,val_neutron_err_pct,composite_score,train_time_s,filters,spatial
cnn,8,swish,linear,0.2,1e-05,True,0.1,nadam,0.0003,512,mse,,,,2.0,7.0,32.0,double,,58057,24,0.002126887906342745,0.0021247481927275658,0.0021247481927275658,-0.0010060302702357131,False,0.985865656429684,1.4855679243424293,1.3446766954006797,0.00812954588152176,28.0,"[32, 64]",26.0
cnn,8,leaky_relu,sigmoid,0.1,1e-05,False,0.1,nadam,0.0003,1024,mae,,,,2.0,5.0,32.0,constant,,24809,25,0.029194330796599388,0.029178649187088013,0.029178649187088013,-0.0005371457088922912,False,0.9847022172650526,1.9308442517978524,1.1474824872762786,0.022238215961017715,17.9,"[32, 32]",26.0
cnn,8,relu,sigmoid,0.3,0.001,False,0.1,adamw,0.0001,512,mse,,,,3.0,5.0,64.0,double,,467465,25,0.005108365789055824,0.00511190015822649,0.00511190015822649,0.0006918786391996013,False,0.48801946116420836,0.0,100.0,0.25854621949700907,44.5,"[64, 128, 256]",13.0
cnn,8,leaky_relu,linear,0.3,0.0,True,0.05,nadam,0.003,1024,mae,,,,3.0,3.0,64.0,double,,305929,25,0.028566410765051842,0.028561262413859367,0.028561262413859367,-0.00018022394324641094,False,0.9873079363858387,1.3791744655698945,1.1643848479726557,0.020626663014010338,38.4,"[64, 128, 256]",13.0
cnn,8,relu,linear,0.1,0.001,False,0.0,adamw,0.003,512,mae,,,,3.0,5.0,32.0,constant,,28041,24,0.03287981078028679,0.03287222981452942,0.03287222981452942,-0.0002305659788624815,False,0.9873463971846695,1.381144714806423,1.1549946475857795,0.022762916314929937,30.5,"[32, 32, 32]",13.0
cnn,8,leaky_relu,sigmoid,0.3,0.0,False,0.05,adam,0.0001,1024,mae,,,,2.0,3.0,16.0,double,,17385,25,0.029242217540740967,0.029234139248728752,0.029234139248728752,-0.0002762544256761577,False,0.9884906059498856,1.2294355235937346,1.0761169643360189,0.020371766649421585,15.7,"[16, 32]",26.0
dense,8,elu,linear,0.0,1e-05,True,0.05,adamw,0.0003,1024,huber,1.0,64.0,linear,,,,,[64],15088,23,0.0012186325620859861,0.001218614517711103,0.001218614517711103,-1.4807067728674144e-05,False,0.9825676429299437,2.051029455226086,1.449846939733694,0.009325485793883703,13.0,,
dense,8,leaky_relu,linear,0.3,1e-05,False,0.02,adam,0.001,1024,huber,1.0,32.0,linear,,,,,[32],7344,25,0.001223844476044178,0.0012234359746798873,0.0012234359746798873,-0.00033378535613537246,False,0.9864329532124382,1.5663481430400947,1.1568726876631548,0.007395241381120854,11.0,,
cnn,8,relu,linear,0.0,0.001,True,0.0,adamw,0.001,1024,mse,,,,2.0,5.0,16.0,constant,,10041,25,0.002123361686244607,0.0021215418819338083,0.0021215418819338083,-0.0008570392517617497,False,0.9870867867925617,1.4166092010639346,1.1718970082821567,0.007517377544686066,18.0,"[16, 16]",26.0
cnn,8,swish,linear,0.2,1e-05,False,0.05,adamw,0.0003,512,huber,,,,3.0,5.0,16.0,constant,,8905,24,0.001270078937523067,0.0012693493627011776,0.0012693493627011776,-0.0005744326595260541,False,0.9889329051364397,1.1525958033691264,1.0629706837943922,0.006168222113130728,28.6,"[16, 16, 16]",13.0
cnn,8,swish,sigmoid,0.2,0.0001,True,0.05,nadam,0.001,1024,mae,,,,2.0,3.0,16.0,constant,,8953,24,0.028148720040917397,0.02813543751835823,0.02813543751835823,-0.00047186950383030856,False,0.9876252379761927,1.2649000098512462,1.211335849907037,0.020255099771082752,18.6,"[16, 16]",26.0
cnn,8,swish,linear,0.3,0.0,False,0.05,adam,0.003,1024,mae,,,,3.0,7.0,64.0,constant,,130057,25,0.027806265279650688,0.02779337391257286,0.02779337391257286,-0.0004636137556833882,False,0.9873271667852541,1.3772042163333662,1.1625068078952805,0.02023310356365937,26.4,"[64, 64, 64]",13.0
cnn,8,swish,linear,0.2,0.001,True,0.05,adamw,0.0003,256,huber,,,,2.0,5.0,16.0,double,,19753,24,0.0010395521530881524,0.0010386266512796283,0.0010386266512796283,-0.0008902889631605146,False,0.9868560219995769,1.3909959609890652,1.2413844911450411,0.0070913023258513674,40.3,"[16, 32]",26.0
dense,8,swish,linear,0.2,0.0,False,0.05,adam,0.001,256,mse,1.0,64.0,linear,,,,,[64],14576,25,0.001989198150113225,0.001987447962164879,0.001987447962164879,-0.0008798459561439455,False,0.9870579411934386,1.3969067086986504,1.196311529288035,0.007464753384363143,27.1,,
dense,8,leaky_relu,sigmoid,0.3,0.0,False,0.05,adamw,0.003,512,mse,2.0,32.0,linear,,,,,"[32, 16]",8144,14,0.002436399692669511,0.0024360029492527246,0.0024360029492527246,-0.00016284003728119444,False,0.9834137805042211,2.3465668407053495,1.0028734013183842,0.0095111112225158,15.1,,
cnn,8,relu,linear,0.3,0.0,False,0.02,adam,0.001,256,mae,,,,2.0,7.0,32.0,double,,57545,8,0.028138918802142143,0.028128553181886673,0.028128553181886673,-0.000368373082432761,False,0.9865002596103921,1.2747512560338883,1.421676338573065,0.02081414678574728,24.6,"[32, 64]",26.0
cnn,8,swish,linear,0.3,0.0001,False,0.0,adam,0.0003,512,huber,,,,2.0,3.0,16.0,double,,17385,25,0.0014003310352563858,0.0014006391866132617,0.0014006391866132617,0.0002200560789681257,False,0.9866733332051306,1.526943158309526,1.1474824872762786,0.007363652990741321,22.5,"[16, 32]",26.0
dense,8,relu,linear,0.3,0.001,True,0.0,adam,0.001,1024,mse,4.0,32.0,funnel,,,,,"[8, 8, 8, 8]",2608,25,0.0037451344542205334,0.0037518860772252083,0.0037518860772252083,0.0018027718596501261,False,0.979692698217342,2.1475716678159786,1.9193569590775068,0.012029593929941629,19.0,,
dense,8,elu,linear,0.0,1e-05,False,0.05,adam,0.0001,256,mae,3.0,128.0,linear,,,,,"[128, 72, 16]",48160,25,0.029416413977742195,0.029409833252429962,0.029409833252429962,-0.00022370929771427098,False,0.9876925443741467,1.3752339670968377,1.0930193250323963,0.02085864443914165,32.6,,
dense,8,leaky_relu,linear,0.2,0.001,True,0.0,nadam,0.0001,512,huber,3.0,128.0,geometric,,,,,"[128, 64, 32]",49968,25,0.001236031181178987,0.0012355613289400935,0.0012355613289400935,-0.00038012976213540247,False,0.9824234149343282,1.7279085804354248,1.786016113583864,0.009406073197305964,26.3,,
dense,8,relu,linear,0.0,1e-05,True,0.1,adamw,0.0003,1024,mse,4.0,32.0,linear,,,,,"[32, 27, 21, 16]",11518,25,0.0031097480095922947,0.0031097407918423414,0.0031097407918423414,-2.321007982320807e-06,False,0.9746735639699237,2.6204314845827996,2.448964260897328,0.01421808841095934,21.5,,
cnn,8,leaky_relu,linear,0.0,1e-05,True,0.1,nadam,0.003,512,huber,,,,3.0,7.0,16.0,constant,,11337,21,0.0010319763096049428,0.0010307278716936707,0.0010307278716936707,-0.0012097544291011595,False,0.9880579219630392,1.3240074869470988,1.0704828441038932,0.006486402954327231,30.5,"[16, 16, 16]",13.0
dense,8,leaky_relu,linear,0.0,0.001,False,0.1,adamw,0.0001,256,huber,3.0,256.0,funnel,,,,,"[16, 16, 8]",4416,22,0.002481865230947733,0.0024836077354848385,0.0024836077354848385,0.0007020947452655042,False,0.48801946116420836,0.0,100.0,0.25723207328563824,30.3,,
cnn,8,elu,linear,0.1,0.0001,True,0.1,adam,0.0001,1024,huber,,,,2.0,7.0,16.0,constant,,11129,25,0.0016838563606142998,0.0016836420400068164,0.0016836420400068164,-0.0001272796258020483,False,0.9863175708159458,1.5210324105999409,1.2226040903712885,0.007683035612030487,18.3,"[16, 16]",26.0
dense,8,relu,sigmoid,0.0,0.001,False,0.02,adamw,0.001,1024,huber,3.0,256.0,linear,,,,,"[256, 136, 16]",128416,25,0.0024818589445203543,0.0024836112279444933,0.0024836112279444933,0.0007060366698147184,False,0.48801946116420836,0.0,100.0,0.25723207503186807,17.6,,
cnn,8,swish,sigmoid,0.3,1e-05,False,0.0,adamw,0.003,512,huber,,,,3.0,3.0,32.0,constant,,19721,25,0.0011531984200701118,0.0011519081890583038,0.0011519081890583038,-0.0011188282860546024,False,0.9881444587604085,1.1880602896266377,1.1831652487464084,0.006503724714324921,28.9,"[32, 32, 32]",13.0
cnn,8,swish,linear,0.2,0.0001,True,0.1,adamw,0.0003,1024,mae,,,,3.0,3.0,32.0,double,,91529,25,0.031358033418655396,0.03135152906179428,0.03135152906179428,-0.00020742234611067657,False,0.9865098748100998,1.333858733129741,1.3634570961744323,0.022420827125847254,28.5,"[32, 64, 128]",13.0
cnn,8,swish,linear,0.1,0.001,False,0.02,nadam,0.001,256,mse,,,,2.0,7.0,32.0,double,,57545,25,0.002647108631208539,0.002646086970344186,0.002646086970344186,-0.00038595350878620346,False,0.9882694563566086,1.2294355235937346,1.1193118861156497,0.00718831530686781,39.7,"[32, 64]",26.0
dense,8,elu,sigmoid,0.3,0.0001,True,0.1,nadam,0.0001,512,huber,5.0,256.0,linear,,,,,"[256, 196, 136, 76, 16]",237184,24,0.0012423756998032331,0.001241615624167025,0.001241615624167025,-0.0006117920982585524,False,0.9843464548758678,1.905231011722983,1.2413844911450411,0.00844758037414961,40.0,,
cnn,8,relu,sigmoid,0.2,1e-05,False,0.1,adam,0.0001,512,mae,,,,3.0,3.0,16.0,constant,,6793,11,0.03450978174805641,0.03449642285704613,0.03449642285704613,-0.0003871044768643544,False,0.9872406299878849,1.3377992316027978,1.2169699701391627,0.02362789643458063,20.8,"[16, 16, 16]",13.0
dense,8,leaky_relu,linear,0.3,1e-05,False,0.1,nadam,0.0003,256,mae,1.0,256.0,funnel,,,,,[32],7344,25,0.030396467074751854,0.030388398095965385,0.030388398095965385,-0.0002654577838478743,False,0.9853368204457607,1.7200275834893115,1.224482130448664,0.022525788825102366,27.7,,
dense,8,elu,sigmoid,0.3,0.0001,True,0.05,nadam,0.0001,512,mse,5.0,64.0,geometric,,,,,"[64, 32, 16, 16, 16]",21264,25,0.002497696317732334,0.002497074194252491,0.002497074194252491,-0.0002490789114058379,False,0.9835195477010058,1.8796177716481135,1.427310458805191,0.009488763246623344,32.6,,
cnn,8,leaky_relu,linear,0.2,0.001,True,0.02,adamw,0.003,256,mae,,,,3.0,7.0,32.0,constant,,37001,25,0.028352759778499603,0.028333716094493866,0.028333716094493866,-0.0006716695007650883,False,0.9869617891963616,1.2649000098512462,1.3409206152459294,0.020685963449066147,56.7,"[32, 32, 32]",13.0
cnn,8,swish,linear,0.0,0.0,True,0.05,adam,0.001,256,huber,,,,2.0,7.0,32.0,double,,58057,22,0.0009431993239559233,0.0009429247584193945,0.0009429247584193945,-0.0002911002261719777,False,0.9871348627911002,1.4028174564082356,1.1756530884369072,0.006904030983659604,44.1,"[32, 64]",26.0
dense,8,leaky_relu,linear,0.0,0.0001,False,0.0,adamw,0.001,1024,mse,2.0,64.0,geometric,,,,,"[64, 32]",18224,25,0.0025888585951179266,0.002588033676147461,0.002588033676147461,-0.00031864195751026865,False,0.9824714909328667,1.9741897350014774,1.5418709035250813,0.010058271371640393,12.1,,
cnn,8,elu,linear,0.3,0.0001,True,0.0,adamw,0.0001,256,mae,,,,3.0,7.0,32.0,double,,173705,23,0.027562249451875687,0.027549948543310165,0.027549948543310165,-0.0004462955241370595,False,0.9874425491817465,1.302334745345286,1.211335849907037,0.020053699680781856,62.9,"[32, 64, 128]",13.0
cnn,8,leaky_relu,sigmoid,0.3,0.0001,True,0.1,nadam,0.001,256,huber,,,,2.0,5.0,16.0,constant,,10041,11,0.0011008450528606772,0.0010999665828421712,0.0010999665828421712,-0.0007979960633181217,False,0.9886059883463779,1.1998817850458083,1.0817510845681448,0.006246989118232127,31.5,"[16, 16]",26.0
dense,8,swish,linear,0.3,0.0,False,0.0,adam,0.001,512,mae,1.0,64.0,funnel,,,,,[256],57968,25,0.02723320946097374,0.027226194739341736,0.027226194739341736,-0.00025757968931484763,False,0.9878271571700544,1.2727810067973597,1.1643848479726557,0.019699518784643655,17.4,,
dense,8,swish,linear,0.3,1e-05,True,0.0,adamw,0.003,512,mae,3.0,64.0,linear,,,,,"[64, 40, 16]",21280,14,0.030743975192308426,0.03073333390057087,0.03073333390057087,-0.0003461260839235491,False,0.9836637756966212,1.741700325091124,1.5306026630608296,0.023534779101974823,24.1,,
cnn,8,leaky_relu,sigmoid,0.2,0.0001,False,0.1,adamw,0.0003,256,mse,,,,2.0,7.0,16.0,double,,21609,24,0.0024560897145420313,0.0024546529166400433,0.0024546529166400433,-0.0005849940633198484,False,0.9875387011788235,1.381144714806423,1.1174338460382744,0.007457975868908284,37.7,"[16, 32]",26.0
dense,8,elu,sigmoid,0.1,0.0,False,0.02,adam,0.001,256,huber,1.0,128.0,geometric,,,,,[128],29040,24,0.0009586316300556064,0.0009580230107530951,0.0009580230107530951,-0.0006348833936096096,False,0.9876156227764851,1.302334745345286,1.1775311285142824,0.006671200117134013,28.9,,
dense,8,elu,sigmoid,0.0,1e-05,False,0.05,adam,0.001,256,mae,3.0,32.0,geometric,,,,,"[32, 16, 16]",8688,25,0.028846265748143196,0.028834674507379532,0.028834674507379532,-0.0004018281210076684,False,0.9875675467779466,1.3555314747315534,1.136214246812027,0.020633563864716487,29.8,,
