trial,latent_dim,conv_filters,dense_units,lr,num_layers,best_val_acc,best_val_recon_loss,best_val_loss,epochs_run
59,8,"(32, 64, 128)",64,0.001,3,0.9939135909080505,0.0006178992916829884,0.03504485264420509,5
60,8,"(32, 64, 128)",64,0.001,4,0.9938270449638367,0.0006078661535866559,0.03513583540916443,5
61,8,"(32, 64, 128)",64,0.0001,2,0.9946154952049255,0.0005895361537113786,0.03163972124457359,32
62,8,"(32, 64, 128)",64,0.0001,3,0.9920193552970886,0.0006405169260688126,0.038862235844135284,5
63,8,"(32, 64, 128)",64,0.0001,4,0.991625189781189,0.0006335766520351171,0.03987104818224907,5
64,8,"(32, 64, 128)",128,0.01,2,0.9932982325553894,0.0006160871707834303,0.03563254326581955,5
65,8,"(32, 64, 128)",128,0.01,3,0.9915674924850464,0.0006297482759691775,0.04038039222359657,5
66,8,"(32, 64, 128)",128,0.01,4,0.9905482530593872,0.0006701983511447906,0.0426163487136364,5
67,8,"(32, 64, 128)",128,0.001,2,0.9934520721435547,0.0005858756485395133,0.03261524438858032,5
68,8,"(32, 64, 128)",128,0.001,3,0.9930674433708191,0.0006131381378509104,0.03538639843463898,5
69,8,"(32, 64, 128)",128,0.001,4,0.9929136037826538,0.0006158617907203734,0.0355539433658123,5
70,8,"(32, 64, 128)",128,0.0001,2,0.9922597408294678,0.0006354470388032496,0.03887861594557762,5
71,8,"(32, 64, 128)",128,0.0001,3,0.9918559193611145,0.0006403772858902812,0.039157021790742874,5
72,8,"(32, 64, 128)",128,0.0001,4,0.9929232001304626,0.000641697843093425,0.037115808576345444,5
73,8,"(64, 128, 256)",16,0.01,2,0.9934616684913635,0.0006440537981688976,0.037073686718940735,5
74,8,"(64, 128, 256)",16,0.01,3,0.9905194044113159,0.013000459410250187,0.41752520203590393,5
75,8,"(64, 128, 256)",16,0.01,4,0.9920290112495422,0.000715060974471271,0.04203003644943237,5
76,8,"(64, 128, 256)",16,0.001,2,0.9930193424224854,0.0006119690951891243,0.03586050122976303,5
77,8,"(64, 128, 256)",16,0.001,3,0.9929232001304626,0.0006121734040789306,0.03514488413929939,5
78,8,"(64, 128, 256)",16,0.001,4,0.993028998374939,0.0006272693281061947,0.03669935464859009,5
79,8,"(64, 128, 256)",16,0.0001,2,0.9920097589492798,0.0006339831161312759,0.03942174091935158,5
80,8,"(64, 128, 256)",16,0.0001,3,0.9922885894775391,0.0006153900758363307,0.037053998559713364,5
81,8,"(64, 128, 256)",16,0.0001,4,0.9935578107833862,0.0006159640033729374,0.03524334356188774,5
82,8,"(64, 128, 256)",32,0.01,2,0.993028998374939,0.0006793820066377521,0.039296552538871765,5
83,8,"(64, 128, 256)",32,0.01,3,0.991625189781189,0.01299923937767744,0.41162437200546265,5
84,8,"(64, 128, 256)",32,0.01,4,0.9908270835876465,0.0012075607664883137,0.06463176012039185,5
85,8,"(64, 128, 256)",32,0.001,2,0.9939039349555969,0.000583810091484338,0.03248315677046776,5
86,8,"(64, 128, 256)",32,0.001,3,0.9937597513198853,0.0006109291571192443,0.034501757472753525,5
87,8,"(64, 128, 256)",32,0.001,4,0.9940481781959534,0.0006097039440646768,0.03320684656500816,5
88,8,"(64, 128, 256)",32,0.0001,2,0.9919040203094482,0.0006321725086309016,0.03976987302303314,5
89,8,"(64, 128, 256)",32,0.0001,3,0.9921635985374451,0.0006207278347574174,0.037467584013938904,5
90,8,"(64, 128, 256)",32,0.0001,4,0.9930097460746765,0.000620570732280612,0.03621668368577957,5
91,8,"(64, 128, 256)",64,0.01,2,0.9931058883666992,0.000617485900875181,0.03518320247530937,5
92,8,"(64, 128, 256)",64,0.01,3,0.9911251664161682,0.013000725768506527,0.41429203748703003,5
93,8,"(64, 128, 256)",64,0.01,4,0.9916828274726868,0.0007682772702537477,0.04631887376308441,5
94,8,"(64, 128, 256)",64,0.001,2,0.9924039840698242,0.000590404961258173,0.037076424807310104,5
95,8,"(64, 128, 256)",64,0.001,3,0.9937116503715515,0.0005933369975537062,0.0329604297876358,5
96,8,"(64, 128, 256)",64,0.001,4,0.993278980255127,0.0006168903782963753,0.036318860948085785,5
97,8,"(64, 128, 256)",64,0.0001,2,0.9914616942405701,0.0006298309890553355,0.04008684679865837,5
98,8,"(64, 128, 256)",64,0.0001,3,0.9928655028343201,0.0006247595301829278,0.037045013159513474,5
99,8,"(64, 128, 256)",64,0.0001,4,0.9933174252510071,0.0006212276057340205,0.03541501611471176,5
100,8,"(64, 128, 256)",128,0.01,2,0.9936155080795288,0.013911337591707706,0.4339907765388489,5
101,8,"(64, 128, 256)",128,0.01,3,0.9927597641944885,0.0007558568031527102,0.040909457951784134,5
102,8,"(64, 128, 256)",128,0.01,4,0.9909040331840515,0.0007155535276979208,0.04532314091920853,5
103,8,"(64, 128, 256)",128,0.001,2,0.9935097694396973,0.000589404662605375,0.03470670059323311,5
104,8,"(64, 128, 256)",128,0.001,3,0.9931155443191528,0.000613733718637377,0.0347539484500885,5
105,8,"(64, 128, 256)",128,0.001,4,0.991875171661377,0.0006087571964599192,0.04029322788119316,5
106,8,"(64, 128, 256)",128,0.0001,2,0.9921444058418274,0.0006299856468103826,0.038017526268959045,5
107,8,"(64, 128, 256)",128,0.0001,3,0.9924424290657043,0.0006239874055609107,0.03758799284696579,5
108,8,"(64, 128, 256)",128,0.0001,4,0.9929136037826538,0.0006150426925159991,0.03548820689320564,5
