trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
19,16,"(16, 32, 64)","(16, 32)",64,0.01,2,0.9261711239814758,0.0002476231602486223,0.4257775843143463,22
20,16,"(16, 32, 64)","(16, 32, 64)",64,0.01,3,0.9281181693077087,0.0003157687606289983,0.48293280601501465,33
21,16,"(16, 32, 64)","(16, 32, 64, 128)",64,0.01,4,0.9244259595870972,0.0004176327493041754,0.603020191192627,30
22,16,"(16, 32, 64)","(16, 32)",64,0.001,2,0.9343054294586182,0.00022518771584145725,0.3803218603134155,49
23,16,"(16, 32, 64)","(16, 32, 64)",64,0.001,3,0.9392378926277161,0.00024271244183182716,0.3850325047969818,43
24,16,"(16, 32, 64)","(16, 32, 64, 128)",64,0.001,4,0.9408820867538452,0.0002587562776170671,0.3967457711696625,49
25,16,"(16, 32, 64)","(16, 32)",64,0.0001,2,0.9235173463821411,0.00024989264784380794,0.42436522245407104,100
26,16,"(16, 32, 64)","(16, 32, 64)",64,0.0001,3,0.9310171008110046,0.00028023248887620866,0.4405481517314911,100
27,16,"(16, 32, 64)","(16, 32, 64, 128)",64,0.0001,4,0.9323006868362427,0.00031159340869635344,0.4713934361934662,73
28,16,"(16, 32, 64)","(16, 32)",128,0.01,2,0.9344207644462585,0.00023507712467107922,0.3895489573478699,32
29,16,"(16, 32, 64)","(16, 32, 64)",128,0.01,3,0.9212962985038757,0.00032245481270365417,0.5103538036346436,35
30,16,"(16, 32, 64)","(16, 32, 64, 128)",128,0.01,4,0.9126283526420593,0.0005503806169144809,0.7710708379745483,12
31,16,"(16, 32, 64)","(16, 32)",128,0.001,2,0.9356755614280701,0.00023263826733455062,0.38480594754219055,35
32,16,"(16, 32, 64)","(16, 32, 64)",128,0.001,3,0.9382283091545105,0.0002493767533451319,0.3960098624229431,35
33,16,"(16, 32, 64)","(16, 32, 64, 128)",128,0.001,4,0.9419782161712646,0.00024995359126478434,0.3835945129394531,42
34,16,"(16, 32, 64)","(16, 32)",128,0.0001,2,0.9292863607406616,0.00026102803531102836,0.4235178828239441,100
35,16,"(16, 32, 64)","(16, 32, 64)",128,0.0001,3,0.9335986971855164,0.0002888584276661277,0.4452819228172302,100
36,16,"(16, 32, 64)","(16, 32, 64, 128)",128,0.0001,4,0.9361370801925659,0.00029216770781204104,0.43994370102882385,100
37,16,"(32, 64, 128)","(32, 64)",16,0.01,2,0.8857735991477966,0.00033736307523213327,0.5938317179679871,12
38,16,"(32, 64, 128)","(32, 64, 128)",16,0.01,3,0.8979750871658325,0.0003996479499619454,0.6503894925117493,16
39,16,"(32, 64, 128)","(32, 64, 128, 256)",16,0.01,4,0.9114890098571777,0.00042910032789222896,0.6492817997932434,36
40,16,"(32, 64, 128)","(32, 64)",16,0.001,2,0.9328487515449524,0.00020304214558564126,0.3595640957355499,61
41,16,"(32, 64, 128)","(32, 64, 128)",16,0.001,3,0.9386610388755798,0.00020964141003787518,0.35156914591789246,60
42,16,"(32, 64, 128)","(32, 64, 128, 256)",16,0.001,4,0.9336996674537659,0.00029740939498879015,0.4653673470020294,20
43,16,"(32, 64, 128)","(32, 64)",16,0.0001,2,0.9073208570480347,0.0002373242750763893,0.45417946577072144,100
44,16,"(32, 64, 128)","(32, 64, 128)",16,0.0001,3,0.9277864098548889,0.00024256491451524198,0.4126049876213074,100
45,16,"(32, 64, 128)","(32, 64, 128, 256)",16,0.0001,4,0.9325025677680969,0.0002561607980169356,0.41594186425209045,100
46,16,"(32, 64, 128)","(32, 64)",32,0.01,2,0.9161474704742432,0.0002967811597045511,0.4915831685066223,18
47,16,"(32, 64, 128)","(32, 64, 128)",32,0.01,3,0.9248442649841309,0.00035788328386843204,0.5259653329849243,36
48,16,"(32, 64, 128)","(32, 64, 128, 256)",32,0.01,4,0.9127581715583801,0.0004776310233864933,0.6804060339927673,21
49,16,"(32, 64, 128)","(32, 64)",32,0.001,2,0.9347525238990784,0.00020693759142886847,0.3595149517059326,50
50,16,"(32, 64, 128)","(32, 64, 128)",32,0.001,3,0.937622606754303,0.000240468536503613,0.38859084248542786,34
51,16,"(32, 64, 128)","(32, 64, 128, 256)",32,0.001,4,0.9415743350982666,0.0002358583442401141,0.3770926296710968,40
52,16,"(32, 64, 128)","(32, 64)",32,0.0001,2,0.9236615896224976,0.00023000709188636392,0.4055338501930237,100
53,16,"(32, 64, 128)","(32, 64, 128)",32,0.0001,3,0.9314641952514648,0.00025118186022154987,0.4132898151874542,93
54,16,"(32, 64, 128)","(32, 64, 128, 256)",32,0.0001,4,0.9367572665214539,0.0002542803413234651,0.40294840931892395,100
55,16,"(32, 64, 128)","(32, 64)",64,0.01,2,0.9310603141784668,0.00023529247846454382,0.3938245177268982,27
56,16,"(32, 64, 128)","(32, 64, 128)",64,0.01,3,0.9138543009757996,0.00037295144284144044,0.586366593837738,36
57,16,"(32, 64, 128)","(32, 64, 128, 256)",64,0.01,4,0.9122389554977417,0.0007365259225480258,0.9378843903541565,24
58,16,"(32, 64, 128)","(32, 64)",64,0.001,2,0.9348390698432922,0.00022005497885402292,0.3714311122894287,33
59,16,"(32, 64, 128)","(32, 64, 128)",64,0.001,3,0.9405215382575989,0.00021944427862763405,0.3584188222885132,47
60,16,"(32, 64, 128)","(32, 64, 128, 256)",64,0.001,4,0.942093551158905,0.00022788188653066754,0.3606429398059845,46
