lstm_units,n_lstm_layers,dense_units,dropout,learning_rate,batch_size,optimizer,n_params,best_epoch,train_loss,train_acc,val_loss,val_acc,overfit_gap,is_overfit,composite_score,train_time_s
32,2,32,0.2,0.002,256,adam,35649,7,0.1021448224782943,0.9649714827537536,0.1018464788794517,0.9654287099838256,-0.000457227230072,False,0.068208884447813,153.5
32,2,32,0.2,0.002,256,adamw,35649,19,0.0891419723629951,0.9694137573242188,0.0886743292212486,0.9692218899726868,0.0001918673515319,False,0.0597262196242809,306.5
32,2,32,0.2,0.002,512,adam,35649,18,0.0984200611710548,0.9654041528701782,0.0985387042164802,0.964837372303009,0.0005667805671691,False,0.0668506659567356,167.7
32,2,32,0.2,0.002,512,adamw,35649,21,0.094994343817234,0.9671445488929749,0.0953646972775459,0.9672027230262756,-5.817413330078125e-05,False,0.0640809871256351,190.7
32,2,64,0.1,0.001,256,adam,37761,43,0.0804193764925003,0.9736781120300292,0.0805117562413215,0.9737650752067566,-8.696317672729492e-05,False,0.0533733405172824,575.1
32,2,64,0.1,0.001,256,adamw,37761,32,0.0802736952900886,0.973524272441864,0.0801366791129112,0.9733756184577942,0.0001486539840698,False,0.0533805303275585,455.7
32,2,64,0.1,0.001,512,adam,37761,16,0.1060435324907302,0.9623897671699524,0.1069450080394744,0.9619384407997132,0.0004513263702392,False,0.0725032836198806,150.8
32,2,64,0.1,0.001,512,adamw,37761,40,0.0861238464713096,0.9712647199630736,0.0862086713314056,0.9710680246353148,0.0001966953277587,False,0.0575703233480453,309.4
32,2,64,0.1,0.002,256,adam,37761,24,0.0730124935507774,0.9758464097976683,0.0735476687550544,0.9759573340415956,-0.000110924243927,False,0.0487951673567295,357.7
32,2,64,0.1,0.002,256,adamw,37761,33,0.0708470866084098,0.9767838716506958,0.0716578215360641,0.9768226742744446,-3.88026237487793e-05,False,0.0474175736308097,484.9
32,2,64,0.1,0.002,512,adam,37761,15,0.0891291350126266,0.9702839255332948,0.0884581506252288,0.970202624797821,8.130073547363281e-05,False,0.0591277629137039,147.7
32,2,64,0.1,0.002,512,adamw,37761,44,0.0761404260993003,0.9749329090118408,0.0763890147209167,0.9743996262550354,0.0005332827568054,False,0.0509946942329406,350.9
32,2,64,0.2,0.001,256,adam,37761,12,0.1162158325314521,0.9579378962516784,0.1180307790637016,0.9570202827453612,0.0009176135063171,False,0.0805052481591701,217.5
32,2,64,0.2,0.001,256,adamw,37761,20,0.0947497487068176,0.9682359099388124,0.0946760103106498,0.9680536389350892,0.0001822710037231,False,0.0633111856877803,309.0
32,2,64,0.2,0.001,512,adam,37761,15,0.1216653808951377,0.9558898210525512,0.1222890764474868,0.9552751183509828,0.0006147027015686,False,0.0835069790482521,138.0
32,2,64,0.2,0.001,512,adamw,37761,2,0.1513337939977646,0.9412601590156556,0.1523808985948562,0.941227376461029,3.2782554626464844e-05,False,0.1055767610669136,54.3
32,2,64,0.2,0.002,256,adam,37761,9,0.0943057537078857,0.967721462249756,0.0941376239061355,0.9674911499023438,0.0002303123474121,False,0.0633232370018959,181.2
32,2,64,0.2,0.002,256,adamw,37761,10,0.0939760357141494,0.9686733484268188,0.0933214053511619,0.9688901901245116,-0.0002168416976928,False,0.0622156076133251,208.3
32,2,64,0.2,0.002,512,adam,37761,12,0.0942782387137413,0.9678320288658142,0.094057872891426,0.9676209688186646,0.0002110600471496,False,0.0632184520363807,128.0
32,2,64,0.2,0.002,512,adamw,37761,14,0.0929130837321281,0.968005120754242,0.0931622758507728,0.9671450257301332,0.0008600950241088,False,0.0630086250603199,142.7
64,2,32,0.1,0.001,256,adam,136769,44,0.0680022165179252,0.9779136776924132,0.0696756094694137,0.9771832227706908,0.0007304549217224,False,0.0462461933493614,663.6
64,2,32,0.1,0.001,256,adamw,136769,31,0.0703784674406051,0.9766588807106018,0.0711957812309265,0.9770390391349792,-0.0003801584243774,False,0.0470783710479736,508.8
64,2,32,0.1,0.001,512,adam,136769,36,0.0723873078823089,0.976404070854187,0.0722526609897613,0.9767361283302308,-0.0003320574760437,False,0.0477582663297653,351.0
64,2,32,0.1,0.001,512,adamw,136769,33,0.0807264000177383,0.9732791185379028,0.0810413137078285,0.9729862213134766,0.0002928972244262,False,0.0540275461971759,324.0
