trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
66,16,"(32, 64, 128)","(32, 64, 128, 256)",128,0.01,4,0.886913001537323,0.0006602948997169733,0.9020862579345703,27
67,16,"(32, 64, 128)","(32, 64)",128,0.001,2,0.9370601177215576,0.0004036888130940497,0.5469998717308044,37
68,16,"(32, 64, 128)","(32, 64, 128)",128,0.001,3,0.9402186274528503,0.00040518087917007506,0.5430165529251099,39
69,16,"(32, 64, 128)","(32, 64, 128, 256)",128,0.001,4,0.9393244385719299,0.00040981898200698197,0.5566837191581726,23
70,16,"(32, 64, 128)","(32, 64)",128,0.0001,2,0.9258970618247986,0.0004200511611998081,0.5863696932792664,109
71,16,"(32, 64, 128)","(32, 64, 128)",128,0.0001,3,0.9350121021270752,0.0004170796019025147,0.5644693374633789,108
72,16,"(32, 64, 128)","(32, 64, 128, 256)",128,0.0001,4,0.9391658306121826,0.00041216876707039773,0.5520541071891785,94
73,16,"(64, 128, 256)","(64, 128)",16,0.01,2,0.9258105754852295,0.0004542167007457465,0.6258299946784973,27
74,16,"(64, 128, 256)","(64, 128, 256)",16,0.01,3,0.9248730540275574,0.0005751965218223631,0.7586531043052673,50
75,16,"(64, 128, 256)","(64, 128, 256, 512)",16,0.01,4,0.8801488280296326,0.01123954076319933,11.50380802154541,29
76,16,"(64, 128, 256)","(64, 128)",16,0.001,2,0.935473620891571,0.0004061496292706579,0.5560985207557678,28
77,16,"(64, 128, 256)","(64, 128, 256)",16,0.001,3,0.9405792355537415,0.00039574375841766596,0.5389981865882874,37
78,16,"(64, 128, 256)","(64, 128, 256, 512)",16,0.001,4,0.9373196959495544,0.0004120966186746955,0.562971293926239,17
79,16,"(64, 128, 256)","(64, 128)",16,0.0001,2,0.9227241277694702,0.0004096293414477259,0.5870451331138611,135
80,16,"(64, 128, 256)","(64, 128, 256)",16,0.0001,3,0.9299642443656921,0.0004050175775773823,0.565855860710144,86
81,16,"(64, 128, 256)","(64, 128, 256, 512)",16,0.0001,4,0.9384590983390808,0.00039485422894358635,0.5372442007064819,83
82,16,"(64, 128, 256)","(64, 128)",32,0.01,2,0.9145321249961853,0.0004416944575496018,0.6286410093307495,27
83,16,"(64, 128, 256)","(64, 128, 256)",32,0.01,3,0.5112928152084351,0.01311092171818018,13.805084228515625,13
84,16,"(64, 128, 256)","(64, 128, 256, 512)",32,0.01,4,0.9095708131790161,0.0005443404661491513,0.7541202306747437,27
85,16,"(64, 128, 256)","(64, 128)",32,0.001,2,0.9384014010429382,0.0003973703715018928,0.5386236906051636,46
86,16,"(64, 128, 256)","(64, 128, 256)",32,0.001,3,0.9390360116958618,0.000400106655433774,0.5412328839302063,25
87,16,"(64, 128, 256)","(64, 128, 256, 512)",32,0.001,4,0.942670464515686,0.00039319638744927943,0.52649986743927,39
88,16,"(64, 128, 256)","(64, 128)",32,0.0001,2,0.9249163269996643,0.00041614793008193374,0.5849090218544006,87
89,16,"(64, 128, 256)","(64, 128, 256)",32,0.0001,3,0.9373485445976257,0.00040024722693488,0.5440185070037842,106
90,16,"(64, 128, 256)","(64, 128, 256, 512)",32,0.0001,4,0.9394254088401794,0.0004048861737828702,0.5490560531616211,60
91,16,"(64, 128, 256)","(64, 128)",64,0.01,2,0.9219886064529419,0.0004363840853329748,0.6118173599243164,21
92,16,"(64, 128, 256)","(64, 128, 256)",64,0.01,3,0.9238923788070679,0.00045694856089539826,0.6317558288574219,30
93,16,"(64, 128, 256)","(64, 128, 256, 512)",64,0.01,4,0.5112928152084351,0.0150228813290596,15.717004776000977,11
94,16,"(64, 128, 256)","(64, 128)",64,0.001,2,0.9392090439796448,0.0003953955019824207,0.5356360673904419,49
95,16,"(64, 128, 256)","(64, 128, 256)",64,0.001,3,0.9399590492248535,0.00040639142389409244,0.5442983508110046,22
96,16,"(64, 128, 256)","(64, 128, 256, 512)",64,0.001,4,0.9428435564041138,0.0003944567288272083,0.5262836813926697,35
97,16,"(64, 128, 256)","(64, 128)",64,0.0001,2,0.9290844798088074,0.00040918210288509727,0.5698308944702148,104
98,16,"(64, 128, 256)","(64, 128, 256)",64,0.0001,3,0.935343861579895,0.000403086218284443,0.5482654571533203,96
99,16,"(64, 128, 256)","(64, 128, 256, 512)",64,0.0001,4,0.9420647025108337,0.0003951825201511383,0.5266592502593994,84
100,16,"(64, 128, 256)","(64, 128)",128,0.01,2,0.9241231083869934,0.00046490816748701036,0.6401117444038391,30
101,16,"(64, 128, 256)","(64, 128, 256)",128,0.01,3,0.5112928152084351,0.013111724518239498,13.805826187133789,15
102,16,"(64, 128, 256)","(64, 128, 256, 512)",128,0.01,4,0.9006288051605225,0.0005427179276011884,0.7594597935676575,23
103,16,"(64, 128, 256)","(64, 128)",128,0.001,2,0.9386177659034729,0.00039966776967048645,0.5401197671890259,31
104,16,"(64, 128, 256)","(64, 128, 256)",128,0.001,3,0.9354447722434998,0.0004202097188681364,0.5731666088104248,14
105,16,"(64, 128, 256)","(64, 128, 256, 512)",128,0.001,4,0.9421079754829407,0.0003986292576882988,0.5311065912246704,29
106,16,"(64, 128, 256)","(64, 128)",128,0.0001,2,0.9315795302391052,0.0004058921476826072,0.5600618720054626,92
107,16,"(64, 128, 256)","(64, 128, 256)",128,0.0001,3,0.937622606754303,0.0004061764047946781,0.5484607219696045,74
108,16,"(64, 128, 256)","(64, 128, 256, 512)",128,0.0001,4,0.9403051733970642,0.000397092429921031,0.5343654155731201,60
189,32,"(64, 128, 256)","(64, 128, 256, 512)",16,0.0001,4,0.9368726015090942,0.00022640105453319848,0.3727171719074249,75
190,32,"(64, 128, 256)","(64, 128)",32,0.01,2,0.9251759648323059,0.0002809895668178797,0.45738208293914795,33
191,32,"(64, 128, 256)","(64, 128, 256)",32,0.01,3,0.9270076155662537,0.0005065202713012695,0.6763957738876343,34
192,32,"(64, 128, 256)","(64, 128, 256, 512)",32,0.01,4,0.8854995965957642,0.0005683947820216417,0.8200961947441101,19
