model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_conv_layers,kernel_size,n_filters_start,filter_strategy,n_layers,start_width,width_strategy,filters,spatial,skips,n_params,best_epoch,train_loss,val_loss,best_val_loss,overfit_gap,is_overfit,val_strict_acc,val_primary_acc,val_secondary_acc,composite_score,train_time_s,widths
unet,4,leaky_relu,linear,0.2,0.0,True,0.0,adamw,0.003,256,mse,3.0,7.0,32.0,double,,,,"[32, 64, 128]",13.0,True,175333,25,8.247290073093438e-10,7.723122696923213e-10,7.723122696923213e-10,-0.005241673761702259,False,0.33295834775585553,0.6197069343486789,0.5371524172147225,0.33352082650822834,28.5,
cnn,8,leaky_relu,linear,0.3,1e-05,True,0.05,adam,0.0001,512,mse,2.0,5.0,64.0,constant,,,,"[64, 64]",26.0,,70857,25,0.001000043237581849,0.0009999360190704465,0.0009999360190704465,-0.00010721387573387956,False,0.43016614745586707,0.6548978885427483,0.6634360216914734,0.28541689428160166,15.2,
cnn,4,swish,linear,0.1,1e-05,False,0.05,adamw,0.001,512,huber,3.0,7.0,16.0,double,,,,"[16, 32, 64]",13.0,,43717,25,0.0018535542767494917,0.0018534883856773376,0.0018534883856773376,-3.5548498892406755e-05,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.38087366931110334,15.9,
dense,8,swish,linear,0.1,0.0001,True,0.1,adamw,0.0001,256,mse,,,,,2.0,256.0,funnel,,,,23920,25,0.00035660926369018853,0.0003561820194590837,0.0003561820194590837,-0.0011980738432976542,False,0.32320872274143303,0.5705838236990884,0.5666032075689397,0.338573729639013,17.2,"[64, 64]"
dense,16,leaky_relu,linear,0.2,1e-05,True,0.05,nadam,0.003,512,mse,,,,,3.0,64.0,geometric,,,,21880,25,0.00041242045699618757,0.0004112564492970705,0.0004112564492970705,-0.002822381090392479,False,0.37181262259143877,0.6109380408445829,0.6094957886235145,0.31429931692892915,15.2,"[64, 32, 32]"
unet,8,leaky_relu,linear,0.1,0.0,False,0.1,adamw,0.001,256,mae,3.0,3.0,32.0,double,,,,"[32, 64, 128]",13.0,True,96489,23,3.2095101687446004e-08,3.2096224344968505e-08,3.2096224344968505e-08,3.497909224385121e-05,False,0.3808122764509057,0.6107361255336333,0.6267162801430715,0.30959387782265935,22.3,
cnn,4,elu,linear,0.0,0.0,True,0.02,nadam,0.003,256,mae,3.0,5.0,32.0,constant,,,,"[32, 32, 32]",13.0,,25349,25,0.00530109042301774,0.005281360819935799,0.005281360819935799,-0.003721800895203402,False,0.3142667589708088,0.5818333910234221,0.5377004730587285,0.3455073009245635,23.5,
cnn,8,relu,linear,0.3,0.0,False,0.1,adamw,0.0001,1024,huber,2.0,3.0,16.0,constant,,,,"[16, 16]",26.0,,8761,25,0.0002309505216544494,0.0002307754330104217,0.0002307754330104217,-0.0007581218815763466,False,0.3455636321679935,0.5809968847352025,0.5865351332641052,0.3273335716325084,11.3,
dense,8,relu,linear,0.1,0.0001,True,0.1,adamw,0.001,1024,mse,,,,,3.0,32.0,funnel,,,,2400,24,0.0014769230037927628,0.0014748412650078535,0.0014748412650078535,-0.0014095107054080062,False,0.3067958924656744,0.5499884619822315,0.5558728510441906,0.3473394743996667,12.5,"[8, 8, 8]"
unet,4,elu,linear,0.2,0.0001,False,0.02,adam,0.0003,1024,mae,2.0,3.0,32.0,constant,,,,"[32, 32]",26.0,True,14021,25,7.763355824863538e-05,7.763296162011102e-05,7.763296162011102e-05,-7.685188439414707e-06,False,0.3216222452982578,0.5830160378446982,0.5506230529595015,0.33922769383168117,11.0,
