model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_layers,start_width,width_strategy,n_conv_layers,kernel_size,n_filters_start,filter_strategy,widths,n_params,best_epoch,best_val_loss,test_loss,clf_accuracy,photon_err_pct,neutron_err_pct,composite_score,train_time_s,filters,spatial
dense,32,swish,sigmoid,0.0,0.0001,True,0.0,adam,0.001,256,mae,2.0,32.0,geometric,,,,,"[64, 64]",27016,22,0.01989673264324665,0.01990070566534996,0.9880579219630392,1.3062752438183431,1.0873852048002703,0.01591940534010372,34.1,,
dense,16,relu,linear,0.3,1e-05,True,0.1,adamw,0.0003,256,huber,1.0,32.0,linear,,,,,[32],8120,13,0.0011907130246981978,0.0011890055611729622,0.9868560219995769,1.5367944044921682,1.1024095254192725,0.007167345512560652,25.6,,
dense,4,swish,sigmoid,0.1,0.0,True,0.02,adamw,0.001,512,huber,5.0,256.0,funnel,,,,,"[8, 8, 8, 8, 8]",2748,24,0.001240442623384297,0.001238685566931963,0.9818657333512817,2.1751551571273766,1.4686273405074466,0.009687354636051304,30.0,,
cnn,4,swish,linear,0.2,1e-05,True,0.1,nadam,0.0003,512,mse,,,,2.0,7.0,32.0,double,,44741,23,0.0023580286651849747,0.002354945056140423,0.9851252860521913,1.5801398876957935,1.3991398576445622,0.00861637130649684,29.7,"[32, 64]",26.0
cnn,8,leaky_relu,sigmoid,0.1,1e-05,False,0.1,nadam,0.0003,1024,mae,,,,2.0,5.0,32.0,constant,,24809,22,0.029142681509256363,0.029120195657014847,0.9883752235533932,1.286572751453059,1.0441902830206395,0.02038372897793156,19.4,"[32, 32]",26.0
cnn,16,relu,sigmoid,0.3,0.001,False,0.1,adamw,0.0001,512,mse,,,,3.0,5.0,64.0,double,,520721,24,0.005099210422486067,0.005089720711112022,0.48801946116420836,0.0,100.0,0.25853987462913885,46.0,"[64, 128, 256]",13.0
cnn,4,leaky_relu,linear,0.3,0.0,True,0.05,nadam,0.003,1024,mae,,,,3.0,3.0,64.0,double,,279301,15,0.029038485139608383,0.029016820713877678,0.9857310436337763,1.7633730666929366,1.106165605574023,0.02165372075291605,33.4,"[64, 128, 256]",13.0
cnn,32,relu,sigmoid,0.3,1e-05,True,0.02,adam,0.001,512,mse,,,,2.0,5.0,32.0,constant,,65153,25,0.0013287197798490524,0.001327034435234964,0.9890579027326397,1.320066988474042,0.8789227562116175,0.0061354085236046685,28.1,"[32, 32]",26.0
cnn,8,swish,linear,0.0,0.001,False,0.0,adamw,0.0003,1024,mae,,,,2.0,3.0,16.0,double,,17385,25,0.03238891437649727,0.032354678958654404,0.9877021595738543,1.3831149640429514,1.0836291246455199,0.022343377401321474,15.0,"[16, 32]",26.0
dense,32,elu,sigmoid,0.1,0.001,False,0.02,adamw,0.001,512,mae,5.0,32.0,geometric,,,,,"[64, 64, 64, 64, 64]",50952,18,0.046954043209552765,0.04692777618765831,0.48801946116420836,0.0,100.0,0.2794672910226722,23.6,,
cnn,2,relu,linear,0.3,0.001,False,0.0,nadam,0.0003,256,huber,,,,3.0,7.0,64.0,double,,591619,25,0.0025294076185673475,0.002524899085983634,0.48801946116420836,0.0,100.0,0.2572549732271795,68.4,"[64, 128, 256]",13.0
dense,8,swish,linear,0.0,0.0001,False,0.1,adamw,0.0001,512,mse,4.0,64.0,linear,,,,,"[64, 48, 32, 16]",24240,25,0.004064306616783142,0.004047677852213383,0.9805388357916194,2.8568613929662106,1.0779950044133941,0.011762735412581882,23.3,,
